snapshot_ts,network_id,train_count,anomaly_count,conflict_count,delay_high_count,avg_delay,avg_speed,anomaly_ratio,conflict_ratio,proximity_conflict_count,congestion_conflict_count,network_congestion_conflict,network_proximity_conflict,network_delay_conflict,network_anomaly_spike,network_conflict_label,is_network_conflict
2026-01-26T18:59:00Z,1,7,3,2,2,1.7142857142857142,58.57142857142857,0.4285714285714285,0.2857142857142857,2,0,True,True,True,True,network_congestion_conflict,True
2026-01-26T18:59:00Z,196,2,0,0,0,0.0,61.5,0.0,0.0,0,0,False,False,False,False,normal,False
2026-01-26T18:59:00Z,2,2,1,0,0,2.0,40.5,0.5,0.0,0,0,False,False,False,True,network_anomaly_spike,True
2026-01-26T18:59:00Z,3,19,5,0,1,0.4210526315789473,53.8421052631579,0.2631578947368421,0.0,0,0,False,False,False,False,normal,False
2026-01-26T18:59:00Z,AW,67,22,40,10,1.1791044776119404,54.73134328358209,0.3283582089552239,0.5970149253731343,17,23,True,False,True,True,network_congestion_conflict,True
2026-01-26T18:59:00Z,CC,9,3,7,1,0.5555555555555556,52.44444444444444,0.3333333333333333,0.7777777777777778,4,3,True,False,False,True,network_congestion_conflict,True
2026-01-26T18:59:00Z,CH,3,2,0,0,1.3333333333333333,38.333333333333336,0.6666666666666666,0.0,0,0,False,False,False,True,network_anomaly_spike,True
2026-01-26T18:59:00Z,FS,386,115,382,40,0.8678756476683938,55.512953367875646,0.2979274611398964,0.9896373056994818,8,374,True,False,True,False,network_congestion_conflict,True
2026-01-26T18:59:00Z,GW,12,3,8,1,0.6666666666666666,52.25,0.25,0.6666666666666666,2,6,True,False,False,False,network_congestion_conflict,True
2026-01-26T18:59:00Z,HYD_MMTS,142,46,138,20,1.0211267605633805,54.7887323943662,0.323943661971831,0.971830985915493,4,134,True,False,True,True,network_congestion_conflict,True
2026-01-26T18:59:00Z,ITRP-AG000174,136,43,101,12,0.9117647058823528,55.22794117647059,0.3161764705882353,0.7426470588235294,48,53,True,False,True,True,network_congestion_conflict,True
2026-01-26T18:59:00Z,LE,31,10,22,1,0.3225806451612903,53.516129032258064,0.3225806451612903,0.7096774193548387,16,6,True,False,False,True,network_congestion_conflict,True
2026-01-26T18:59:00Z,LM,37,13,21,3,0.8648648648648649,52.21621621621622,0.3513513513513513,0.5675675675675675,14,7,True,False,True,True,network_congestion_conflict,True
2026-01-26T18:59:00Z,LRTA,2,0,0,0,0.0,44.5,0.0,0.0,0,0,False,False,False,False,normal,False
2026-01-26T18:59:00Z,MRTC,1,0,0,0,0.0,48.0,0.0,0.0,0,0,False,False,False,False,normal,False
2026-01-26T18:59:00Z,NPS_CUVA_CVSR,1,0,0,0,0.0,49.0,0.0,0.0,0,0,False,False,False,False,normal,False
2026-01-26T18:59:00Z,PNR,1,0,0,0,0.0,70.0,0.0,0.0,0,0,False,False,False,False,normal,False
2026-01-26T18:59:00Z,SN,15,5,14,1,0.8666666666666667,52.86666666666667,0.3333333333333333,0.9333333333333332,2,12,True,False,False,True,network_congestion_conflict,True
2026-01-26T18:59:00Z,SW,5,3,2,0,0.6,47.8,0.6,0.4,2,0,True,True,False,True,network_congestion_conflict,True
2026-01-26T18:59:00Z,TL,5,1,1,0,0.0,65.2,0.2,0.2,0,1,True,False,False,False,network_congestion_conflict,True
2026-01-26T18:59:00Z,TP,57,23,42,5,0.912280701754386,53.12280701754386,0.4035087719298245,0.7368421052631579,16,26,True,False,True,True,network_congestion_conflict,True
2026-01-26T18:59:00Z,XC,10,3,3,1,0.7,46.9,0.3,0.3,3,0,True,True,False,True,network_congestion_conflict,True
2026-01-26T18:59:00Z,XR,7,4,2,1,1.4285714285714286,65.85714285714286,0.5714285714285714,0.2857142857142857,2,0,True,True,False,True,network_congestion_conflict,True
2026-01-26T19:00:00Z,1,7,1,2,0,0.0,50.85714285714285,0.1428571428571428,0.2857142857142857,2,0,True,True,False,False,network_congestion_conflict,True
2026-01-26T19:00:00Z,196,2,0,0,0,0.0,35.0,0.0,0.0,0,0,False,False,False,False,normal,False
2026-01-26T19:00:00Z,2,2,2,0,0,0.0,69.5,1.0,0.0,0,0,False,False,False,True,network_anomaly_spike,True
2026-01-26T19:00:00Z,3,19,8,0,2,1.0,53.8421052631579,0.4210526315789473,0.0,0,0,False,False,True,True,network_delay_conflict,True
2026-01-26T19:00:00Z,AW,67,22,40,9,1.044776119402985,56.73134328358209,0.3283582089552239,0.5970149253731343,17,23,True,False,True,True,network_congestion_conflict,True
2026-01-26T19:00:00Z,CC,9,5,7,1,0.8888888888888888,45.55555555555556,0.5555555555555556,0.7777777777777778,4,3,True,False,False,True,network_congestion_conflict,True
2026-01-26T19:00:00Z,CH,3,2,0,0,0.0,36.0,0.6666666666666666,0.0,0,0,False,False,False,True,network_anomaly_spike,True
2026-01-26T19:00:00Z,FS,386,128,382,38,0.9015544041450776,54.70725388601036,0.3316062176165803,0.9896373056994818,8,374,True,False,True,True,network_congestion_conflict,True
2026-01-26T19:00:00Z,GW,12,4,8,2,1.25,59.16666666666666,0.3333333333333333,0.6666666666666666,2,6,True,False,True,True,network_congestion_conflict,True
2026-01-26T19:00:00Z,HYD_MMTS,142,48,138,15,0.9859154929577464,56.25352112676056,0.3380281690140845,0.971830985915493,4,134,True,False,True,True,network_congestion_conflict,True
2026-01-26T19:00:00Z,ITRP-AG000174,136,46,101,14,0.8897058823529411,53.72794117647059,0.3382352941176471,0.7426470588235294,48,53,True,False,True,True,network_congestion_conflict,True
